rating,rating_count,cost,name_encoded
3.7,10,300,82480
3.3,20,200,109964
3.0,100,200,21506
3.7,10,300,4395
3.7,10,1000,22177
3.7,10,500,104108
3.7,10,500,12688
3.7,10,150,26216
3.7,10,250,61999
3.7,10,150,102551
3.5,50,300,62772
3.7,10,300,105018
3.7,10,300,6498
3.7,10,299,36020
4.1,20,250,24641
3.6,50,200,89600
3.7,10,200,94141
3.7,10,200,62366
3.7,10,299,75201
3.7,10,150,36403
3.7,10,200,111964
3.7,10,200,108501
3.7,10,150,48208
3.7,10,150,4314
3.7,10,200,47082
3.7,10,800,28892
2.9,20,200,94489
3.7,10,150,110570
3.7,10,500,42293
3.7,10,300,105619
4.1,20,200,20095
3.7,10,800,31673
3.7,10,120,88803
3.7,10,300,80351
3.7,10,300,88223
5.0,20,200,103588
3.7,10,200,65423
3.7,10,249,64871
3.7,10,100,20688
3.7,10,150,103926
3.7,10,300,38087
3.7,10,70,30765
3.7,10,600,69048
3.7,10,150,36675
3.7,10,200,62471
3.7,10,200,14808
3.7,10,150,21688
3.7,10,500,43588
3.7,10,150,31139
3.7,10,200,63358
3.7,10,200,44368
3.7,10,120,101530
2.7,20,300,105747
3.7,10,350,54306
4.3,20,150,105766
3.7,10,100,20250
3.7,10,300,67036
3.7,10,200,104458
3.7,10,300,101869
3.7,10,299,97811
3.7,10,400,97633
3.7,10,150,58213
4.1,100,100,36330
3.7,10,800,62465
3.4,500,200,71966
3.6,20,299,80051
3.7,10,170,88570
3.7,10,300,15678
3.6,50,200,63246
3.5,20,399,77072
3.7,10,300,89520
3.7,10,200,106621
3.7,10,300,88758
3.7,10,200,112550
3.7,10,300,62400
3.7,10,250,87015
3.7,10,450,17228
3.7,10,500,80072
3.7,10,200,103829
3.6,20,300,14998
3.7,10,200,106623
3.7,10,250,25072
3.7,20,300,79713
1.4,20,200,44357
3.7,10,250,105463
3.7,10,300,54154
3.7,10,250,24892
3.7,10,400,102926
3.7,10,250,106800
3.7,10,150,22821
3.7,10,400,90584
3.7,10,400,24832
3.7,10,250,105893
3.7,10,100,73255
3.7,10,200,9409
3.7,10,150,32218
3.7,10,300,69412
3.7,10,400,72514
3.7,10,200,81854
3.7,10,200,28466
3.7,10,300,101814
3.7,10,400,105319
3.7,10,200,11525
3.7,10,399,26963
3.5,50,200,63212
3.7,10,300,78661
3.7,10,449,46436
3.7,10,250,36507
3.7,10,250,108451
